,Global_GDP,US_Industrial_Production_Index,Global_Inflation,US_CPI_Fuels,10Y_Treasury_Yield,Fed_Funds_Rate,RealGDP_PerCapita,Unemployment_rate,opec_prod,Global_Prod,Econ_Policy_Uncertainty,Global_Policy_Uncertainty,US_FinReports_Petroleum_Coal,Vol_Energy_Regulation,Vol_Elections,WTI_Futures,US Dollar Index (DXY),WTI_Spot,Brent_Spot,NaturalGas_Spot,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,GSCPI_Index
2015-04-01,75666750527505.75,101.2255,1.4842776880665929,266.924,1.94,0.12,58376.0,5.4,23111.3538849,96771.6568342784,35.80220842179848,102.124630419091,66394.0,0.06794,0.40766,94.5999984741211,14.550000190734863,59.630001068115234,59.52,2.61,606.0,754.0,-0.33
2015-05-01,75769114963926.83,100.7675,1.4977511865194302,265.835,2.2,0.12,58412.66666666666,5.6,23294.264821,96809.13051977624,31.08436625533754,106.3845343478046,63524.333333333336,0.11657,0.40799,96.91000366210938,13.84000015258789,60.29999923706055,64.08,2.85,694.0,857.0,-0.54
2015-06-01,75871479400347.92,100.4588,1.5112246849722677,264.841,2.36,0.13,58449.333333333336,5.3,23477.1757571,96846.60420527404,33.0426179066883,117.31681537372462,60654.66666666666,0.23323,0.93294,95.48999786376952,18.229999542236328,59.470001220703125,61.48,2.78,784.0,976.0,-0.85
2015-07-01,75973843836769.0,101.0893,1.5246981834251052,256.667,2.32,0.13,58486.0,5.2,23660.0866932,96884.07789077188,52.275351996919895,128.4797126072808,57785.0,0.49997,1.14278,97.37000274658205,12.119999885559082,47.119998931884766,56.56,2.84,728.0,755.0,-0.4
2015-08-01,76076208273190.08,100.9165,1.5381716818779425,247.622,2.17,0.14,58480.66666666666,5.1,23842.9976293,96921.55157626972,74.79461287622023,131.1172280027092,56245.0,0.30861,0.30861,95.9499969482422,28.43000030517578,49.20000076293945,46.52,2.77,591.0,598.0,-0.67
2015-09-01,76178572709611.17,100.633,1.55164518033078,241.051,2.17,0.14,58475.333333333336,5.0,24025.9085654,96959.02526176754,104.99440168614764,174.3706667663793,54705.0,0.51322,0.36659,96.3499984741211,24.5,45.09000015258789,47.62,2.66,511.0,715.0,-0.38
2015-10-01,76280937146032.25,100.1563,1.5651186787836175,240.798,2.07,0.12,58470.0,5.0,24208.8195015,96996.49894726535,63.58585267414868,125.18303181948048,53165.0,0.52738,0.26369,96.9499969482422,15.06999969482422,46.59000015258789,48.43,2.34,464.0,788.0,-0.22
2015-11-01,76383301582453.33,99.4366,1.578592177236455,241.288,2.26,0.12,58548.0,5.1,24391.7304376,97033.9726327632,35.15372560149704,101.82249383667408,52396.333333333336,0.28125,0.28125,100.16999816894533,16.1299991607666,41.81500053405762,44.27,2.09,531.0,907.0,-0.63
2015-12-01,76485666018874.42,98.9471,1.5920656756892926,226.805,2.24,0.24,58626.0,5.0,24574.6413737,97071.44631826102,60.35844993918739,113.05495556767102,51627.66666666666,0.29796,0.37245,98.62999725341795,18.209999084472656,37.040000915527344,38.01,1.93,580.0,869.0,-0.59
2016-01-01,76588030455295.5,99.4391,1.60553917414213,215.393,2.09,0.34,58704.0,4.8,24757.5523098,97108.92000375885,55.45720481406289,149.56985914989977,50859.0,0.84481,0.33792,99.61000061035156,20.200000762939453,33.619998931884766,30.7,2.28,645.0,817.0,-0.79
